gid,genus,species,x,y
774660,Quercus,acutifolia,-99.6705555555556,17.5022222222222
774661,Quercus,acutifolia,-97.8297222222222,17.3047222222222
774662,Quercus,acutifolia,-96.923,17.51
774663,Quercus,acutifolia,-92.2291666666667,15.5125
774664,Quercus,acutifolia,-99.023,19.193
774665,Quercus,acutifolia,-100.341666666667,19.3416666666667
774666,Quercus,acutifolia,-104.20306,19.71806
774667,Quercus,acutifolia,-98.628,20.728
774668,Quercus,acutifolia,-100.827,19.858
774669,Quercus,acutifolia,-96.9275,19.54
774670,Quercus,acutifolia,-104.82222222222,20.380555555556
774671,Quercus,acutifolia,-96.4841666666667,17.3336111111111
774672,Quercus,acutifolia,-98.017222222222,18.955555555556
774673,Quercus,acutifolia,-99.9902777777778,24.5838888888889
774674,Quercus,acutifolia,-99.6422333333333,17.5572416666667
774675,Quercus,acutifolia,-96.9,16.445
774676,Quercus,acutifolia,-104.441666666667,19.6083333333333
774677,Quercus,acutifolia,-97.5666666666667,17.6866666666667
774679,Quercus,acutifolia,-98.822,19.477
774680,Quercus,acutifolia,-97.683,18.4
774681,Quercus,acutifolia,-100.180277777778,19.2313888888889
774682,Quercus,acutifolia,-96.9416666666667,19.5083333333333
774683,Quercus,acutifolia,-96.975,19.525
774684,Quercus,acutifolia,-96.925,19.5416666666667
774685,Quercus,acutifolia,-104.790111111111,20.2742805555556
774686,Quercus,acutifolia,-98.1491666666667,17.5022222222222
774687,Quercus,acutifolia,-101.377472222222,18.1873611111111
774688,Quercus,acutifolia,-101.8,19.463
774689,Quercus,acutifolia,-92.34,15.32
774690,Quercus,acutifolia,-94.12,16.5
774691,Quercus,acutifolia,-103.758333333333,19.325
774692,Quercus,acutifolia,-92.9,16.85
774693,Quercus,acutifolia,-104.232222222222,19.6491666666667
774694,Quercus,acutifolia,-98.0833333333333,23.2208333333333
774695,Quercus,acutifolia,-96.9058333333333,19.5752777777778
774696,Quercus,acutifolia,-98.6975,20.1838888888889
774697,Quercus,acutifolia,-97.14975,16.2840916666667
774698,Quercus,acutifolia,-103.908333333333,19.5916666666667
774699,Quercus,acutifolia,-99.6855611111111,17.5566694444444
774700,Quercus,acutifolia,-98.905,19.441666666667
774701,Quercus,acutifolia,-98.0172222222222,18.9555555555556
774702,Quercus,acutifolia,-92.52,16.54
774703,Quercus,acutifolia,-104.023333333333,19.425
774704,Quercus,acutifolia,-98.567,20.65
774705,Quercus,acutifolia,-97.9955555555556,17.3491666666667
774706,Quercus,acutifolia,-96.2,17.16
774707,Quercus,acutifolia,-96.0022222222222,17.1475
774708,Quercus,acutifolia,-100.102,20.4
774709,Quercus,acutifolia,-96.25,17.083
